rr,time,stage
1.254,1.364,0
1.102,2.466,0
1.106,3.572,0
1.074,4.646,0
1.036,5.682,0
1.142,6.824,0
0.632000000000001,7.456,0
1.482,8.938,0
1,9.938,0
0.984,10.922,0
1.044,11.966,0
1.064,13.03,0
1.102,14.132,0
1.078,15.21,0
0.968,16.178,0
1.076,17.254,0
1.1,18.354,0
1.202,19.556,0
1.188,20.744,0
0.710000000000001,21.454,0
1.56,23.014,0
1.164,24.178,0
1.102,25.28,0
1.426,26.706,0
1.326,28.032,0
1.366,29.398,0
1.312,30.71,0
1.29,32,0
1.526,33.526,0
1.376,34.902,0
1.234,36.136,0
1.372,37.508,0
1.28599999999999,38.794,0
1.282,40.076,0
1.354,41.43,0
1.226,42.656,0
1.262,43.918,0
1.318,45.236,0
0.662000000000006,45.898,0
1.63,47.528,0
1.156,48.684,0
1.12,49.804,0
1.23399999999999,51.038,0
1.164,52.202,0
1.192,53.394,0
1.17,54.564,0
1.358,55.922,0
1.308,57.23,0
1.186,58.416,0
1.224,59.64,0
1.212,60.852,0
1.166,62.018,0
1.184,63.202,0
1.212,64.414,0
1.194,65.608,0
1.298,66.906,0
1.196,68.102,0
1.25999999999999,69.362,0
1.194,70.556,0
1.166,71.722,0
1.20200000000001,72.924,0
1.116,74.04,0
1.324,75.364,0
1.23999999999999,76.604,0
1.14,77.744,0
1.19200000000001,78.936,0
1.24199999999999,80.178,0
1.19800000000001,81.376,0
1.23599999999999,82.612,0
1.13800000000001,83.75,0
1.142,84.892,0
1.19800000000001,86.09,0
1.188,87.278,0
1.25,88.528,0
1.28999999999999,89.818,0
1.252,91.07,0
1.30000000000001,92.37,0
1.21599999999999,93.586,0
1.244,94.83,0
1.214,96.044,0
1.35000000000001,97.394,0
1.32199999999999,98.716,0
1.232,99.948,0
1.274,101.222,0
1.28400000000001,102.506,0
1.25,103.756,0
1.312,105.068,0
1.22,106.288,0
1.292,107.58,0
1.276,108.856,0
1.236,110.092,0
1.274,111.366,0
1.22,112.586,0
1.348,113.934,0
1.294,115.228,0
1.19000000000001,116.418,0
1.24799999999999,117.666,0
1.298,118.964,0
1.224,120.188,0
1.274,121.462,0
1.194,122.656,0
1.274,123.93,0
1.31999999999999,125.25,0
1.224,126.474,0
1.244,127.718,0
1.20199999999998,128.92,0
1.24600000000001,130.166,0
1.28200000000001,131.448,0
1.196,132.644,0
1.26399999999998,133.908,0
1.24600000000001,135.154,0
1.18600000000001,136.34,0
1.22800000000001,137.568,0
1.15599999999998,138.724,0
1.16200000000001,139.886,0
1.31999999999999,141.206,0
1.178,142.384,0
1.24600000000001,143.63,0
1.16,144.79,0
1.376,146.166,0
1.31200000000001,147.478,0
1.16999999999999,148.648,0
1.274,149.922,0
1.22999999999999,151.152,0
1.19600000000003,152.348,0
1.23999999999998,153.588,0
1.13800000000001,154.726,0
1.208,155.934,0
1.19,157.124,0
1.22800000000001,158.352,0
1.352,159.704,0
1.19399999999999,160.898,0
