rr,time,stage
1.098,1.266,0
1.238,2.504,0
1.192,3.696,0
1.18,4.876,0
1.244,6.12,0
1.05,7.17,0
1.018,8.188,0
0.959999999999999,9.148,0
0.92,10.068,0
0.934000000000001,11.002,0
0.99,11.992,0
1.12,13.112,0
1.13,14.242,0
1.088,15.33,0
1.202,16.532,0
1.208,17.74,0
1.14,18.88,0
1.206,20.086,0
1.206,21.292,0
1.09,22.382,0
1.186,23.568,0
1.236,24.804,0
1.116,25.92,0
1.138,27.058,0
1.166,28.224,0
1.16,29.384,0
1.208,30.592,1
1.27,31.862,1
1.22,33.082,1
1.206,34.288,1
1.25,35.538,1
1.222,36.76,1
1.234,37.994,1
1.278,39.272,1
1.244,40.516,1
1.212,41.728,1
1.236,42.964,1
1.252,44.216,1
1.198,45.414,1
1.242,46.656,1
1.206,47.862,1
1.156,49.018,1
1.166,50.184,1
1.234,51.418,1
1.198,52.616,1
1.114,53.73,1
1.194,54.924,1
1.202,56.126,1
1.13200000000001,57.258,1
1.256,58.514,1
1.236,59.75,1
1.154,60.904,0
1.196,62.1,0
1.234,63.334,0
1.128,64.462,0
1.188,65.65,0
1.18599999999999,66.836,0
1.086,67.922,0
1.172,69.094,0
1.232,70.326,0
1.182,71.508,0
1.17200000000001,72.68,0
1.238,73.918,0
1.17399999999999,75.092,0
1.078,76.17,0
1.19,77.36,0
1.206,78.566,0
1.12599999999999,79.692,0
1.23400000000001,80.926,0
1.19199999999999,82.118,0
1.218,83.336,0
1.294,84.63,0
1.26600000000001,85.896,0
1.22799999999999,87.124,0
1.298,88.422,0
1.23,89.652,0
1.208,90.86,1
1.264,92.124,1
1.29000000000001,93.414,1
1.212,94.626,1
1.264,95.89,1
1.248,97.138,1
1.28399999999999,98.422,1
1.27,99.692,1
1.29000000000001,100.982,1
1.22,102.202,1
1.26600000000001,103.468,1
1.28999999999999,104.758,1
1.21000000000001,105.968,1
1.23599999999999,107.204,1
1.256,108.46,1
1.244,109.704,1
1.14200000000001,110.846,1
1.136,111.982,1
1.22,113.202,1
1.18000000000001,114.382,1
1.184,115.566,1
1.28399999999999,116.85,1
1.212,118.062,1
1.16,119.222,1
1.21600000000001,120.438,2
1.116,121.554,2
1.108,122.662,2
1.184,123.846,2
1.252,125.098,2
1.178,126.276,2
1.28,127.556,2
1.23800000000001,128.794,2
1.298,130.092,2
1.22399999999999,131.316,2
1.238,132.554,2
1.208,133.762,2
1.21000000000001,134.972,2
1.268,136.24,2
1.25199999999998,137.492,2
1.23600000000002,138.728,2
1.29399999999998,140.022,2
1.25400000000002,141.276,2
1.274,142.55,2
1.35199999999998,143.902,2
1.25400000000002,145.156,2
1.226,146.382,2
1.29999999999998,147.682,2
1.22400000000002,148.906,2
1.22799999999998,150.134,2
1.298,151.432,2
1.24000000000001,152.672,2
1.22399999999999,153.896,2
1.304,155.2,2
1.22200000000001,156.422,2
1.148,157.57,2
1.244,158.814,2
1.33199999999999,160.146,2
1.23000000000002,161.376,2
1.19999999999999,162.576,2
1.256,163.832,2
1.238,165.07,2
1.184,166.254,2
1.25800000000001,167.512,2
1.208,168.72,2
1.16800000000001,169.888,2
1.22399999999999,171.112,2
1.274,172.386,2
1.25399999999999,173.64,2
1.21200000000002,174.852,2
1.28799999999998,176.14,2
1.262,177.402,2
1.18400000000003,178.586,2
1.23399999999998,179.82,2
1.25800000000001,181.078,2
1.18600000000001,182.264,2
1.196,183.46,2
1.25799999999998,184.718,2
1.22800000000001,185.946,2
1.226,187.172,2
1.28399999999999,188.456,2
1.232,189.688,2
1.21800000000002,190.906,2
1.27199999999999,192.178,2
1.21000000000001,193.388,2
1.16999999999999,194.558,2
1.25400000000002,195.812,2
1.21599999999998,197.028,2
1.15800000000002,198.186,2
1.196,199.382,2
1.26999999999998,200.652,2
1.20200000000003,201.854,2
1.20599999999999,203.06,2
1.21000000000001,204.27,2
1.18199999999999,205.452,2
1.108,206.56,2
1.22800000000001,207.788,2
1.19399999999999,208.982,2
1.13800000000001,210.12,2
1.19399999999999,211.314,2
1.23400000000001,212.548,2
1.19999999999999,213.748,2
1.15600000000001,214.904,2
1.24600000000001,216.15,2
1.25399999999999,217.404,2
1.184,218.588,2
1.28400000000002,219.872,2
1.36999999999998,221.242,2
1.24200000000002,222.484,2
1.26599999999999,223.75,2
1.244,224.994,2
1.15799999999999,226.152,2
1.20400000000001,227.356,2
1.202,228.558,2
1.20000000000002,229.758,2
1.398,231.156,2
1.274,232.43,2
1.24799999999999,233.678,2
1.48400000000001,235.162,2
0.882000000000005,236.044,2
1.63999999999999,237.684,2
1.25999999999999,238.944,2
1.268,240.212,2
1.19,241.402,2
1.24800000000002,242.65,2
1.34199999999998,243.992,2
1.16200000000001,245.154,2
1.214,246.368,2
1.286,247.654,2
1.18600000000001,248.84,2
1.16800000000001,250.008,2
1.24599999999998,251.254,2
1.21800000000002,252.472,2
1.16999999999999,253.642,2
1.24000000000001,254.882,2
1.19799999999998,256.08,2
1.12200000000001,257.202,2
1.19999999999999,258.402,2
1.19,259.592,2
1.17200000000003,260.764,2
1.22399999999999,261.988,2
0.694000000000017,262.682,2
1.69200000000001,264.374,2
1.23599999999999,265.61,2
1.31,266.92,2
1.262,268.182,2
1.214,269.396,2
1.35399999999998,270.75,2
1.31999999999999,272.07,2
1.25200000000001,273.322,2
1.36399999999998,274.686,2
1.33800000000002,276.024,2
1.238,277.262,2
1.25799999999998,278.52,2
1.30000000000001,279.82,2
1.18200000000002,281.002,2
1.20799999999997,282.21,2
1.25200000000001,283.462,2
1.15800000000002,284.62,2
1.18399999999997,285.804,2
1.262,287.066,2
1.238,288.304,2
1.05600000000004,289.36,2
1.04399999999998,290.404,2
1.04599999999999,291.45,2
0.980000000000018,292.43,2
1.04599999999999,293.476,2
1.07799999999997,294.554,2
0.980000000000018,295.534,2
1.03399999999999,296.568,2
1.24200000000002,297.81,2
1.12799999999999,298.938,2
1.30600000000004,300.244,1
1.29599999999999,301.54,1
1.18599999999998,302.726,1
1.40600000000001,304.132,1
1.37799999999999,305.51,1
1.29399999999998,306.804,1
1.322,308.126,1
1.29200000000003,309.418,1
1.36399999999998,310.782,1
1.35400000000004,312.136,1
1.33599999999996,313.472,1
1.23600000000005,314.708,1
1.27999999999997,315.988,1
1.28800000000001,317.276,1
1.25399999999996,318.53,1
1.21400000000006,319.744,1
1.32399999999996,321.068,1
1.346,322.414,1
1.25400000000002,323.668,1
1.27999999999997,324.948,1
1.30799999999999,326.256,1
1.22600000000006,327.482,1
1.25199999999995,328.734,1
1.31,330.044,2
1.30799999999999,331.352,2
1.23600000000005,332.588,2
1.29199999999997,333.88,2
1.30000000000001,335.18,2
1.24200000000002,336.422,2
1.23999999999995,337.662,2
1.20600000000002,338.868,2
1.13799999999998,340.006,2
1.29200000000003,341.298,2
1.30599999999998,342.604,2
1.18400000000003,343.788,2
1.334,345.122,2
1.26400000000001,346.386,2
1.154,347.54,2
1.22199999999998,348.762,2
1.18000000000001,349.942,2
1.08600000000001,351.028,2
1.12,352.148,2
1.22999999999996,353.378,2
1.178,354.556,2
1.19600000000003,355.752,2
1.29399999999998,357.046,2
1.28800000000001,358.334,2
1.24200000000002,359.576,2
1.29999999999995,360.876,2
1.27200000000005,362.148,2
1.20599999999996,363.354,2
1.226,364.58,2
1.25,365.83,2
1.18600000000004,367.016,2
1.154,368.17,2
1.27199999999999,369.442,2
1.29599999999999,370.738,2
1.166,371.904,2
1.142,373.046,2
1.27600000000001,374.322,2
1.31200000000001,375.634,2
1.24000000000001,376.874,2
1.31199999999995,378.186,2
1.30200000000002,379.488,2
1.238,380.726,2
1.25600000000003,381.982,2
1.28799999999995,383.27,2
1.22400000000005,384.494,2
1.24199999999996,385.736,2
1.13600000000002,386.872,2
1.05399999999997,387.926,2
1.23200000000003,389.158,2
1.19999999999999,390.358,2
1.36000000000001,391.718,2
1.29599999999999,393.014,2
1.24199999999996,394.256,2
1.35000000000002,395.606,2
1.30799999999999,396.914,2
1.226,398.14,2
1.19200000000001,399.332,2
1.26800000000003,400.6,2
1.24799999999999,401.848,2
1.19200000000001,403.04,2
1.28199999999998,404.322,2
1.23000000000002,405.552,2
1.15999999999997,406.712,2
1.21800000000002,407.93,2
1.28399999999999,409.214,2
1.19799999999998,410.412,2
1.21200000000005,411.624,2
