rr,time,stage
1.108,1.708,0
1.088,2.796,0
1.062,3.858,0
1.044,4.902,0
1.104,6.006,0
1.108,7.114,0
1.082,8.196,0
1.064,9.26,0
1.078,10.338,0
1.056,11.394,0
1.06,12.454,0
1.032,13.486,0
1.03,14.516,0
1.066,15.582,0
1.096,16.678,0
1.068,17.746,0
1.066,18.812,0
1.1,19.912,0
1.102,21.014,0
1.078,22.092,0
1.058,23.15,0
1.092,24.242,0
1.106,25.348,0
1.132,26.48,0
1.126,27.606,0
1.14,28.746,0
1.144,29.89,0
1.132,31.022,0
1.096,32.118,0
1.13,33.248,0
1.134,34.382,0
1.136,35.518,0
1.102,36.62,0
1.11,37.73,0
1.152,38.882,0
1.126,40.008,0
1.078,41.086,0
1.054,42.14,0
1.052,43.192,0
1.07,44.262,0
1.078,45.34,0
1.056,46.396,0
1.028,47.424,0
1.052,48.476,0
1.058,49.534,0
1.04,50.574,0
1.032,51.606,0
1.064,52.67,0
1.058,53.728,0
0.988,54.716,0
0.960000000000001,55.676,0
0.937999999999995,56.614,0
0.936,57.55,0
0.938000000000002,58.488,0
0.911999999999999,59.4,0
0.908000000000001,60.308,0
0.904000000000003,61.212,0
0.931999999999995,62.144,0
0.990000000000002,63.134,0
1.008,64.142,0
0.988,65.13,0
0.956000000000003,66.086,0
0.912000000000006,66.998,0
0.989999999999995,67.988,0
1.004,68.992,0
0.983999999999995,69.976,0
0.998000000000005,70.974,0
0.967999999999989,71.942,0
0.938000000000002,72.88,0
0.942000000000007,73.822,0
0.995917886749588,81.226,0
0.965999999999994,82.192,0
0.944000000000003,83.136,0
0.975999999999999,84.112,0
0.940000000000012,85.052,0
0.919999999999987,85.972,0
0.900000000000006,86.872,0
0.891999999999996,87.764,0
0.88000000000001,88.644,0
0.939999999999998,89.584,0
0.945999999999998,90.53,0
0.965999999999994,91.496,0
0.916000000000011,92.412,0
0.941999999999993,93.354,0
0.954000000000008,94.308,0
0.925999999999988,95.234,0
0.920000000000002,96.154,0
0.915999999999997,97.07,0
0.970000000000013,98.04,0
1.074,99.114,0
1.03999999999999,100.154,0
1.018,101.172,0
0.992000000000004,102.164,0
1.018,103.182,0
1.036,104.218,0
1.032,105.25,0
1.014,106.264,0
0.996000000000009,107.26,0
1.042,108.302,0
1.05399999999999,109.356,0
1.08000000000001,110.436,0
1.07599999999999,111.512,0
1.08,112.592,0
1.102,113.694,0
1.11,114.804,0
1.09,115.894,0
1.06599999999999,116.96,0
1.08800000000001,118.048,0
1.098,119.146,0
1.11199999999999,120.258,0
1.08,121.338,0
1.066,122.404,0
1.086,123.49,0
1.096,124.586,0
1.062,125.648,0
1.042,126.69,0
1.042,127.732,0
1.078,128.81,0
1.07399999999998,129.884,0
1.07000000000002,130.954,0
1.07399999999998,132.028,0
1.08800000000002,133.116,0
1.11599999999999,134.232,0
1.136,135.368,0
1.11600000000001,136.484,0
1.07399999999998,137.558,0
1.09,138.648,0
1.09999999999999,139.748,0
1.09200000000001,140.84,0
1.06199999999998,141.902,0
1.04600000000002,142.948,0
1.078,144.026,0
1.12799999999999,145.154,0
1.14400000000001,146.298,0
1.09399999999999,147.392,0
1.07400000000001,148.466,0
1.12,149.586,0
1.06999999999999,150.656,0
1.042,151.698,0
1.02199999999999,152.72,0
1.00800000000001,153.728,0
1.066,154.794,0
1.07399999999998,155.868,0
1.06999999999999,156.938,0
1.066,158.004,0
1.09,159.094,0
1.10599999999999,160.2,0
1.11600000000001,161.316,0
1.10399999999998,162.42,0
1.09400000000002,163.514,0
1.11799999999999,164.632,0
1.12199999999999,165.754,0
1.12200000000001,166.876,0
1.10599999999999,167.982,0
1.102,169.084,0
1.13200000000001,170.216,0
1.136,171.352,0
1.114,172.466,0
1.10999999999999,173.576,0
1.072,174.648,0
1.07599999999999,175.724,0
1.08000000000001,176.804,0
1.08199999999999,177.886,0
1.03999999999999,178.926,0
1.072,179.998,0
1.09400000000002,181.092,0
1.09799999999998,182.19,0
1.04400000000001,183.234,0
1.00999999999999,184.244,0
0.99199999999999,185.236,0
1.024,186.26,0
1.03,187.29,0
1.01600000000002,188.306,0
1.01599999999999,189.322,0
1.07599999999999,190.398,0
1.08600000000001,191.484,0
1.06799999999998,192.552,0
1.048,193.6,0
1.072,194.672,0
1.09800000000001,195.77,0
1.084,196.854,0
1.05599999999998,197.91,0
1.05199999999999,198.962,0
1.048,200.01,0
1.08200000000002,201.092,0
1.09199999999998,202.184,0
1.066,203.25,0
1.01400000000001,204.264,0
1.04599999999999,205.31,0
1.05199999999999,206.362,0
1.07400000000001,207.436,0
1.06399999999999,208.5,0
1.048,209.548,0
1.09,210.638,0
1.10599999999999,211.744,0
1.09,212.834,0
1.06,213.894,0
1.07999999999998,214.974,0
1.114,216.088,0
1.12800000000001,217.216,0
1.11199999999999,218.328,0
1.09399999999999,219.422,0
1.136,220.558,0
1.136,221.694,0
1.114,222.808,0
1.08199999999999,223.89,0
1.072,224.962,0
1.096,226.058,0
1.11000000000001,227.168,0
1.07999999999998,228.248,0
1.08600000000001,229.334,0
1.09799999999998,230.432,0
1.10600000000002,231.538,0
1.066,232.604,0
1.09599999999998,233.7,0
1.10400000000001,234.804,0
1.10599999999999,235.91,0
1.07400000000001,236.984,0
1.08199999999999,238.066,0
1.126,239.192,0
1.12799999999999,240.32,1
1.10599999999999,241.426,1
1.084,242.51,1
1.108,243.618,1
1.108,244.726,1
1.09999999999999,245.826,1
1.08000000000001,246.906,1
1.09999999999999,248.006,1
1.10599999999999,249.112,1
1.136,250.248,1
1.102,251.35,1
1.12200000000001,252.472,1
1.12799999999999,253.6,1
1.15200000000002,254.752,1
1.13199999999998,255.884,1
1.148,257.032,1
1.15200000000004,258.184,1
1.16799999999995,259.352,1
1.16200000000003,260.514,1
1.142,261.656,1
1.14400000000001,262.8,1
1.16399999999999,263.964,1
1.14400000000001,265.108,1
1.15600000000001,266.264,1
1.14999999999998,267.414,1
1.15600000000001,268.57,1
1.154,269.724,1
1.16000000000003,270.884,1
1.16199999999998,272.046,1
1.142,273.188,1
1.15000000000003,274.338,1
1.12399999999997,275.462,1
1.07600000000002,276.538,1
1.06200000000001,277.6,1
1.10999999999996,278.71,1
1.108,279.818,1
1.10200000000003,280.92,1
1.084,282.004,1
1.072,283.076,1
1.12199999999996,284.198,1
1.12600000000003,285.324,1
1.12599999999998,286.45,1
1.09000000000003,287.54,1
1.08799999999997,288.628,1
1.12600000000003,289.754,1
1.13200000000001,290.886,1
1.12399999999997,292.01,1
1.09199999999998,293.102,1
1.12400000000002,294.226,1
1.13600000000002,295.362,1
1.13999999999999,296.502,1
1.14799999999997,297.65,1
1.154,298.804,1
1.19000000000005,299.994,1
1.22399999999999,301.218,1
1.23399999999998,302.452,1
1.20400000000001,303.656,1
1.19999999999999,304.856,1
1.22000000000003,306.076,1
1.20999999999998,307.286,1
1.20400000000001,308.49,1
1.17599999999999,309.666,1
1.17399999999998,310.84,1
1.12,311.96,1
1.108,313.068,1
1.15600000000001,314.224,1
1.19400000000002,315.418,1
1.20799999999997,316.626,1
1.19200000000001,317.818,1
1.18600000000004,319.004,1
1.154,320.158,1
1.15199999999999,321.31,1
1.15600000000001,322.466,1
1.13400000000001,323.6,1
1.13399999999996,324.734,1
1.15600000000001,325.89,1
1.17599999999999,327.066,1
1.18400000000003,328.25,1
1.16800000000001,329.418,1
1.17199999999997,330.59,2
1.18400000000003,331.774,2
1.17399999999998,332.948,2
1.19,334.138,2
1.18200000000002,335.32,2
1.15000000000003,336.47,2
1.13399999999996,337.604,2
1.13600000000002,338.74,2
1.13799999999998,339.878,2
1.13400000000001,341.012,2
1.00599999999997,342.018,2
0.978000000000009,342.996,2
1.10000000000002,344.096,2
1.13200000000001,345.228,2
1.11199999999997,346.34,2
0.974000000000046,347.314,2
0.937999999999988,348.252,2
0.95799999999997,349.21,2
1.14800000000002,350.358,2
1.02199999999999,351.38,2
1.03000000000003,352.41,2
1.00599999999997,353.416,2
1.04000000000002,354.456,2
1.07599999999996,355.532,2
1.07800000000003,356.61,2
1.06,357.67,2
1.05399999999997,358.724,2
1.10000000000002,359.824,2
1.13799999999998,360.962,0
1.13600000000002,362.098,0
1.07400000000001,363.172,0
1.06999999999999,364.242,0
1.06599999999997,365.308,0
1.06600000000003,366.374,0
0.96999999999997,367.344,0
0.966000000000008,368.31,0
0.988,369.298,0
0.954000000000008,370.252,0
0.937999999999988,371.19,0
0.925999999999988,372.116,0
0.924000000000035,373.04,0
0.925999999999988,373.966,0
0.963999999999999,374.93,0
0.95999999999998,375.89,0
0.932000000000016,376.822,0
0.922000000000025,377.744,0
0.92999999999995,378.674,0
0.950000000000045,379.624,0
0.94399999999996,380.568,0
0.951999999999998,381.52,0
0.963999999999999,382.484,0
1.048,383.532,0
1.07800000000003,384.61,0
1.05599999999998,385.666,0
1.05400000000003,386.72,0
1.08399999999995,387.804,0
1.11800000000005,388.922,0
1.08999999999997,390.012,0
1.06,391.072,0
1.09800000000001,392.17,0
1.11799999999999,393.288,0
1.11599999999999,394.404,0
1.11200000000002,395.516,0
1.08599999999996,396.602,0
1.072,397.674,0
1.09200000000004,398.766,0
1.09799999999996,399.864,0
1.04000000000002,400.904,0
1.04200000000003,401.946,0
1.09999999999997,403.046,0
1.13600000000002,404.182,0
1.12,405.302,0
1.08599999999996,406.388,0
1.10000000000002,407.488,0
1.14600000000002,408.634,0
1.166,409.8,0
1.12599999999998,410.926,0
1.11599999999999,412.042,0
1.12400000000002,413.166,0
1.13799999999998,414.304,0
1.12600000000003,415.43,0
1.10399999999998,416.534,0
