rr,time,stage
1.138,1.876,0
1.166,3.042,0
1.16,4.202,0
1.104,5.306,0
1.124,6.43,0
1.146,7.576,0
1.1,8.676,0
1.06,9.736,0
1.086,10.822,0
1.108,11.93,0
1.102,13.032,0
1.044,14.076,0
1.066,15.142,0
1.086,16.228,0
1.004,17.232,0
0.922000000000001,18.154,0
0.870000000000001,19.024,0
0.891999999999999,19.916,0
1.02,20.936,0
1.106,22.042,0
1.11,23.152,0
1.066,24.218,0
1.096,25.314,0
1.104,26.418,0
1.126,27.544,0
1.084,28.628,0
1.116,29.744,0
1.158,30.902,0
1.154,32.056,0
1.12,33.176,0
1.102,34.278,0
1.144,35.422,0
1.148,36.57,0
1.116,37.686,0
1.086,38.772,0
1.152,39.924,0
1.154,41.078,0
1.144,42.222,0
1.116,43.338,0
1.168,44.506,0
1.182,45.688,0
1.166,46.854,0
1.102,47.956,0
1.13999999999999,49.096,0
1.17,50.266,0
1.156,51.422,0
1.108,52.53,0
1.11,53.64,0
1.16,54.8,0
1.17,55.97,0
1.128,57.098,0
1.09,58.188,0
1.132,59.32,0
1.06,60.38,0
0.979999999999997,61.36,0
0.938000000000002,62.298,0
0.923999999999999,63.222,0
1.082,64.304,0
1.092,65.396,0
1.03,66.426,0
1.056,67.482,0
1.06400000000001,68.546,0
1.056,69.602,0
1.10199999999999,70.704,0
1.13800000000001,71.842,0
1.11199999999999,72.954,0
1.05800000000001,74.012,0
1.08,75.092,0
1.086,76.178,0
1.08800000000001,77.266,0
1.05199999999999,78.318,0
1.11200000000001,79.43,0
1.13999999999999,80.57,0
1.11200000000001,81.682,0
1.078,82.76,0
1.12599999999999,83.886,0
1.116,85.002,0
1.08200000000001,86.084,0
1.062,87.146,0
1.11,88.256,0
1.124,89.38,0
1.078,90.458,0
1.092,91.55,0
1.15000000000001,92.7,0
1.148,93.848,0
1.096,94.944,0
1.124,96.068,0
1.154,97.222,0
1.122,98.344,0
1.06800000000001,99.412,0
1.116,100.528,0
1.13,101.658,0
1.124,102.782,0
1.10600000000001,103.888,0
1.10599999999999,104.994,0
1.09,106.084,0
1.024,107.108,0
1.01599999999999,108.124,0
1.024,109.148,0
0.974000000000004,110.122,0
1.01600000000001,111.138,0
1.08799999999999,112.226,0
1.12,113.346,0
1.10599999999999,114.452,0
1.084,115.536,0
1.11799999999999,116.654,0
1.146,117.8,0
1.134,118.934,0
1.096,120.03,0
1.096,121.126,0
1.056,122.182,0
1.05799999999999,123.24,0
1.00200000000001,124.242,0
0.99199999999999,125.234,0
0.918000000000006,126.152,0
0.908000000000001,127.06,0
0.933999999999997,127.994,0
0.972000000000008,128.966,0
0.961999999999989,129.928,0
0.948000000000008,130.876,0
0.939999999999998,131.816,0
0.915999999999997,132.732,0
0.918000000000006,133.65,0
0.957999999999998,134.608,0
0.975999999999999,135.584,0
0.949999999999989,136.534,0
0.960000000000008,137.494,0
0.984000000000009,138.478,0
0.955999999999989,139.434,0
0.99199999999999,140.426,0
1.048,141.474,0
1.018,142.492,0
1.06,143.552,0
1.12800000000001,144.68,0
1.13,145.81,0
1.12799999999999,146.938,0
1.08000000000001,148.018,0
1.09200000000001,149.11,0
1.11999999999998,150.23,0
1.126,151.356,0
1.066,152.422,0
1.072,153.494,0
1.11000000000001,154.604,0
1.11599999999999,155.72,0
1.03399999999999,156.754,0
1.006,157.76,0
0.933999999999997,158.694,0
1.02200000000002,159.716,0
1.09799999999998,160.814,0
1.13200000000001,161.946,0
1.14000000000001,163.086,0
1.07599999999999,164.162,0
1.066,165.228,0
1.114,166.342,0
1.04599999999999,167.388,0
1.08199999999999,168.47,0
1.13400000000001,169.604,0
1.06999999999999,170.674,0
1.09199999999998,171.766,0
1.124,172.89,0
1.11600000000001,174.006,0
1.05799999999999,175.064,0
1.05600000000001,176.12,0
1.06199999999998,177.182,0
0.988,178.17,0
0.922000000000025,179.092,0
0.917999999999978,180.01,0
1.04600000000002,181.056,0
1.09399999999999,182.15,0
1.102,183.252,0
1.09,184.342,0
1.05199999999999,185.394,0
1.10399999999998,186.498,0
1.126,187.624,0
1.048,188.672,0
1.07599999999999,189.748,0
1.13,190.878,0
1.15000000000001,192.028,0
1.15000000000001,193.178,0
1.108,194.286,0
1.07599999999999,195.362,0
1.08199999999999,196.444,0
1.02800000000002,197.472,0
1.07999999999998,198.552,0
1.13200000000001,199.684,0
1.15600000000001,200.84,0
1.16399999999999,202.004,0
1.12200000000001,203.126,0
1.11799999999999,204.244,0
1.078,205.322,0
1.12799999999999,206.45,0
1.14800000000002,207.598,0
1.12199999999999,208.72,0
1.12800000000001,209.848,0
1.11999999999998,210.968,0
1.11200000000002,212.08,0
1.10799999999998,213.188,0
1.114,214.302,0
1.142,215.444,0
1.15000000000001,216.594,0
1.084,217.678,0
1.05000000000001,218.728,0
1.11799999999999,219.846,0
1.148,220.994,0
1.12200000000001,222.116,0
1.184,223.3,0
1.17399999999998,224.474,0
1.13600000000002,225.61,0
1.13799999999998,226.748,0
1.14400000000001,227.892,0
1.15200000000002,229.044,0
1.11599999999999,230.16,0
1.12200000000001,231.282,0
1.136,232.418,0
1.11599999999999,233.534,0
1.12800000000001,234.662,0
1.09399999999999,235.756,0
1.09,236.846,0
0.966000000000008,237.812,0
0.96599999999998,238.778,0
0.960000000000008,239.738,0
0.939999999999998,240.678,0
0.885999999999996,241.564,0
0.843999999999994,242.408,0
0.878000000000014,243.286,0
1.00800000000001,244.294,0
1.06,245.354,0
1.07999999999998,246.434,0
1.102,247.536,0
1.054,248.59,0
1.06199999999998,249.652,0
1.102,250.754,0
1.11600000000001,251.87,0
1.13999999999999,253.01,0
1.148,254.158,0
1.126,255.284,0
1.11799999999999,256.402,0
1.11400000000003,257.516,0
1.05199999999996,258.568,0
1.11799999999999,259.686,0
1.11799999999999,260.804,0
1.06800000000004,261.872,0
1.11799999999999,262.99,0
1.10599999999999,264.096,0
1.08199999999999,265.178,0
1.07999999999998,266.258,0
1.00600000000003,267.264,0
0.923999999999978,268.188,0
0.960000000000036,269.148,0
0.991999999999962,270.14,0
1,271.14,0
0.961999999999989,272.102,0
0.972000000000037,273.074,0
0.991999999999962,274.066,0
0.972000000000037,275.038,0
0.947999999999979,275.986,0
0.903999999999996,276.89,0
0.879999999999995,277.77,0
0.888000000000034,278.658,0
